Config,A_mm2,p_um,ISO,S_O,S_P,S_C,S_Y,5k_O,5k_P,5k_C,5k_Y,50k_O,50k_P,50k_C,50k_Y
100% critical,50.0,5.0,ISO1,1.000000,0.999299,0.999902,0.999201,1.000000,0.932267,0.990252,0.923179,1.000000,0.495909,0.906689,0.449636
25% critical,50.0,5.0,ISO1,1.000000,0.999752,0.999976,0.999728,1.000000,0.975524,0.997554,0.973137,1.000000,0.780508,0.975809,0.761626
20% critical + 10% redundant,50.0,5.0,ISO1,1.000000,0.999782,0.999980,0.999762,1.000000,0.978420,0.998043,0.976505,1.000000,0.803995,0.980600,0.788397
100% critical,50.0,1.0,ISO1,1.000000,0.999298,0.997553,0.996853,0.999995,0.932181,0.782738,0.729650,0.999952,0.495455,0.086330,0.042771
25% critical,50.0,1.0,ISO1,1.000000,0.999752,0.999388,0.999140,0.999995,0.975494,0.940598,0.917544,0.999952,0.780274,0.542052,0.422928
20% critical + 10% redundant,50.0,1.0,ISO1,1.000000,0.999782,0.999510,0.999292,0.999995,0.978394,0.952189,0.931612,0.999952,0.803785,0.612678,0.492438
100% critical,500.0,5.0,ISO1,1.000000,0.995824,0.999021,0.994849,1.000000,0.959017,0.990250,0.949666,1.000000,0.658054,0.906668,0.596636
25% critical,500.0,5.0,ISO1,1.000000,0.998572,0.999755,0.998328,1.000000,0.985816,0.997554,0.983404,1.000000,0.866878,0.975803,0.845902
20% critical + 10% redundant,500.0,5.0,ISO1,1.000000,0.998822,0.999804,0.998626,1.000000,0.988279,0.998042,0.986345,1.000000,0.888787,0.980595,0.871540
100% critical,500.0,1.0,ISO1,1.000000,0.995823,0.975803,0.971727,1.000000,0.959007,0.782746,0.750658,0.999995,0.657985,0.086339,0.056809
25% critical,500.0,1.0,ISO1,1.000000,0.998572,0.993895,0.992476,1.000000,0.985811,0.940600,0.927254,0.999995,0.866836,0.542065,0.469880
20% critical + 10% redundant,500.0,1.0,ISO1,1.000000,0.998821,0.995113,0.993940,1.000000,0.988276,0.952191,0.941027,0.999995,0.888753,0.612691,0.544528
