Config,A_mm2,p_um,ISO,S_O,S_P,S_C,S_Y,5k_O,5k_P,5k_C,5k_Y,50k_O,50k_P,50k_C,50k_Y
100% critical,50.0,5.0,ISO3,1.000000,0.932267,0.999902,0.932175,1.000000,0.000900,0.990252,0.000891,1.000000,0.000000,0.906689,0.000000
25% critical,50.0,5.0,ISO3,1.000000,0.975524,0.999976,0.975500,1.000000,0.083902,0.997554,0.083697,1.000000,0.000000,0.975809,0.000000
20% critical + 10% redundant,50.0,5.0,ISO3,1.000000,0.978420,0.999980,0.978401,1.000000,0.112858,0.998043,0.112637,1.000000,0.000000,0.980600,0.000000
100% critical,50.0,1.0,ISO3,1.000000,0.932181,0.997553,0.929901,0.999995,0.000891,0.782738,0.000698,0.999952,0.000000,0.086330,0.000000
25% critical,50.0,1.0,ISO3,1.000000,0.975494,0.999388,0.974897,0.999995,0.083651,0.940598,0.078681,0.999952,0.000000,0.542052,0.000000
20% critical + 10% redundant,50.0,1.0,ISO3,1.000000,0.978394,0.999510,0.977915,0.999995,0.112564,0.952189,0.107182,0.999952,0.000000,0.612678,0.000000
100% critical,500.0,5.0,ISO3,1.000000,0.658054,0.999021,0.657410,1.000000,0.015227,0.990250,0.015079,1.000000,0.000000,0.906668,0.000000
25% critical,500.0,5.0,ISO3,1.000000,0.866878,0.999755,0.866665,1.000000,0.239650,0.997554,0.239064,1.000000,0.000001,0.975803,0.000001
20% critical + 10% redundant,500.0,5.0,ISO3,1.000000,0.888787,0.999804,0.888613,1.000000,0.307594,0.998042,0.306992,1.000000,0.000008,0.980595,0.000007
100% critical,500.0,1.0,ISO3,1.000000,0.657985,0.975803,0.642063,1.000000,0.015211,0.782746,0.011906,0.999995,0.000000,0.086339,0.000000
25% critical,500.0,1.0,ISO3,1.000000,0.866836,0.993895,0.861544,1.000000,0.239536,0.940600,0.225308,0.999995,0.000001,0.542065,0.000000
20% critical + 10% redundant,500.0,1.0,ISO3,1.000000,0.888753,0.995113,0.884410,1.000000,0.307477,0.952191,0.292777,0.999995,0.000008,0.612691,0.000005
