distance phi
12380.00 -0.004762
12420.00 0.031986
12460.00 0.029012
12500.00 -0.004569
12540.00 0.010375
12580.00 -0.005227
12620.00 -0.004589
12660.00 -0.006026
12700.00 -0.005478
12740.00 -0.004823
12780.00 -0.006433
12820.00 -0.005737
12860.00 -0.005061
12900.00 -0.006305
12940.00 -0.005664
12980.00 -0.005783
13020.00 -0.005943
13060.00 -0.005265
13100.00 -0.006628
13140.00 -0.005473
13180.00 -0.005334
13220.00 -0.006632
13260.00 -0.004513
13300.00 -0.004755
13340.00 -0.005644
13380.00 -0.004313
13420.00 -0.002906
13460.00 -0.002809
13500.00 0.000000
13540.00 0.000000
13580.00 0.000000
13620.00 0.000000
13660.00 0.000000
13700.00 0.000000
13740.00 0.000000
13780.00 0.000000
13820.00 0.000000
13860.00 0.000000
