Config,A_mm2,p_um,ISO,S_O,S_P,S_C,S_Y,5k_O,5k_P,5k_C,5k_Y,50k_O,50k_P,50k_C,50k_Y
100% critical,50.0,5.0,ISO3,1.000000,0.948816,0.999902,0.948724,1.000000,0.005227,0.990252,0.005176,1.000000,0.000000,0.906689,0.000000
25% critical,50.0,5.0,ISO3,1.000000,0.986895,0.999976,0.986871,1.000000,0.267368,0.997554,0.266714,1.000000,0.000002,0.975809,0.000002
20% critical + 10% redundant,50.0,5.0,ISO3,1.000000,0.989444,0.999980,0.989425,1.000000,0.346039,0.998043,0.345362,1.000000,0.000025,0.980600,0.000024
100% critical,50.0,1.0,ISO3,0.999998,0.948817,0.997553,0.946494,0.999813,0.005227,0.782738,0.004090,0.998128,0.000000,0.086330,0.000000
25% critical,50.0,1.0,ISO3,0.999999,0.986895,0.999388,0.986291,0.999947,0.267372,0.940598,0.251477,0.999468,0.000002,0.542052,0.000001
20% critical + 10% redundant,50.0,1.0,ISO3,0.999999,0.989444,0.999510,0.988959,0.999947,0.346045,0.952189,0.329483,0.999468,0.000025,0.612678,0.000015
100% critical,500.0,5.0,ISO3,1.000000,0.605768,0.999021,0.605175,1.000000,0.006654,0.990250,0.006589,1.000000,0.000000,0.906668,0.000000
25% critical,500.0,5.0,ISO3,1.000000,0.882035,0.999755,0.881819,1.000000,0.285009,0.997554,0.284312,1.000000,0.000004,0.975803,0.000003
20% critical + 10% redundant,500.0,5.0,ISO3,1.000000,0.904334,0.999804,0.904157,1.000000,0.365839,0.998042,0.365123,1.000000,0.000043,0.980595,0.000042
100% critical,500.0,1.0,ISO3,0.997121,0.605776,0.975803,0.589416,0.971581,0.006655,0.782746,0.005061,0.749533,0.000000,0.086339,0.000000
25% critical,500.0,1.0,ISO3,0.999917,0.882038,0.993895,0.876580,0.999165,0.285019,0.940600,0.267865,0.991685,0.000004,0.542065,0.000002
20% critical + 10% redundant,500.0,1.0,ISO3,0.999917,0.904337,0.995113,0.899842,0.999165,0.365849,0.952191,0.348068,0.991685,0.000043,0.612691,0.000026
